sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,1,2,p2p5,dominant,Non-conflict,Easy,89.0,96,Right,Right,True,3826.8,30:40,Right,,1,21772.1,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,2,2,p2p4,submissive,Non-conflict,Easy,77.0,86.0,Right,Right,True,1743.8,30:40,Right,,1,3503.2,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,3,2,p2p4,dominant,Non-conflict,Easy,81.0,93,Left,Left,True,2062.6,27:20,Left,,1,9865.5,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,4,2,p2p6,dominant,Non-conflict,Easy,75.0,87,Right,Right,True,1520.5,30:40,Right,,1,1292.7,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,5,2,p1p2,dominant,Conflict,Easy,77.0,12.0,Right,Right,True,1695.4,30:40,Left,,1,6884.1,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,6,2,p2p5,submissive,Non-conflict,Hard,70.0,84,Right,Left,False,2572.3,23:20,Right,,1,7330.9,1,3.875,3.142857142857143,False
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,7,2,p2p5,dominant,Non-conflict,Hard,64.0,82,Left,Left,True,3221.7,23:20,Left,,1,15603.9,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,8,2,p2p6,submissive,Non-conflict,Easy,94.0,96,Left,Left,True,1977.2,27:20,Left,,1,4594.7,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,9,2,p2p5,submissive,Non-conflict,Easy,90.0,91,Left,Left,True,2216.7,27:20,Left,,2,12303.1,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,10,2,p2p6,submissive,Non-conflict,Hard,82.0,89,Right,Right,True,2090.3,30:34,Right,,1,7439.0,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,11,2,p1p2,dominant,Non-conflict,Hard,58.0,9,Right,Right,True,1859.2,30:34,Left,,1,7605.3,1,3.875,3.142857142857143,False
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,12,2,p2p6,dominant,Non-conflict,Hard,63.0,78,Right,Right,True,2574.6,20:23,Right,,1,7585.9,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,13,2,p2p3,submissive,Conflict,Easy,82.0,55,Left,Left,True,1209.7,27:20,Left,,1,2251.8,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,14,2,p2p6,submissive,Conflict,Easy,71.0,87,Left,Left,True,1141.8,40:30,Left,,1,322.6,1,3.875,3.142857142857143,
