player_nb,round_nb,dyad,speech_onset
p3,20,p3p6,579.2916666666666
p3,21,p2p3,4691.708333333334
p3,22,p3p4,399.8125
p3,23,p1p3,0.0
p3,24,p1p3,4358.3125
p3,25,p3p5,453.97916666666663
p3,26,p3p5,1445.7916666666665
p3,27,p3p6,433.35416666666663
p3,28,p3p6,1141.4791666666665
p3,29,p2p3,1025.2083333333333
p3,30,p3p4,833.2916666666666
p4,1,p3p4,3633.375
p4,2,p4p6,808.3541666666667
p4,3,p1p4,1791.3125
p4,4,p2p4,3854.0833333333335
p4,5,p4p5,2420.875
p4,6,p3p4,2829.0416666666665
p4,7,p4p6,1749.9166666666665
p4,8,p1p4,820.8541666666666
p4,9,p2p4,2254.1041666666665
p4,10,p4p5,224.875
p4,11,p3p4,2775.375
p4,12,p4p6,3337.479166666667
p4,13,p1p4,2704.1458333333335
p4,14,p2p4,2216.625
p4,15,p4p5,1845.7291666666667
p4,16,p3p4,2295.8333333333335
p4,17,p3p4,2616.416666666667
p4,18,p4p6,2854.125
p4,19,p1p4,4170.5625
p4,20,p2p4,2687.3541666666665
p4,21,p4p5,4966.708333333333
p4,22,p3p4,2325.0416666666665
p4,23,p4p6,2912.4583333333335
p4,24,p4p6,2525.0416666666665
p4,25,p1p4,5049.916666666666
p4,26,p1p4,1962.4791666666667
p4,27,p2p4,5166.729166666666
p4,28,p2p4,2433.3541666666665
p4,29,p4p5,2470.7916666666665
p4,30,p3p4,3324.9583333333335
p5,1,,
p5,2,p2p5,4391.666666666667
p5,3,p3p5,2366.7083333333335
p5,4,p1p5,370.75
p5,5,p4p5,1387.3333333333333
p5,6,p5p6,0.0
p5,7,p2p5,1729.1041666666667
p5,8,p3p5,4.125
p5,9,p1p5,1624.9166666666665
p5,10,p4p5,25.375
p5,11,p5p6,3429.145833333333
p5,12,p2p5,1341.4166666666667
p5,13,p3p5,1641.6875
p5,14,p1p5,1316.6041666666665
p5,15,p4p5,862.4583333333334
p5,16,p5p6,695.7291666666666
p5,17,p5p6,762.5625
p5,18,p2p5,37.625
p5,19,p3p5,1562.375
p5,20,p1p5,1195.6666666666667
p5,21,p4p5,641.6666666666667
p5,22,p5p6,1095.5625
p5,23,p2p5,900.0625
p5,24,p2p5,299.7291666666667
p5,25,p3p5,2412.4583333333335
p5,26,p3p5,1712.5625
p5,27,p1p5,487.52083333333337
p5,28,p1p5,0.0
p5,29,p4p5,245.8125
p5,30,p5p6,825.0208333333333
p6,1,,
p6,2,p4p6,229.14583333333331
p6,3,p2p6,720.9583333333334
p6,4,p3p6,1741.625
p6,5,p1p6,20.916666666666668
p6,6,p5p6,2587.645833333333
p6,7,p4p6,4770.979166666667
p6,8,p2p6,2287.375
p6,9,p3p6,3024.958333333333
p6,10,p1p6,950.0
p6,11,p5p6,1233.4166666666665
p6,12,p4p6,0.0
p6,13,p2p6,1845.7708333333333
p6,14,p3p6,1062.5
p6,15,p1p6,1266.625
p6,16,p5p6,916.6666666666666
p6,17,p5p6,2970.8125
p6,18,p4p6,2383.3125
p6,19,p2p6,50.083333333333336
p6,20,p3p6,3795.9583333333335
p6,21,p1p6,175.10416666666669
p6,22,p5p6,1758.25
p6,23,p4p6,736.9791666666666
p6,24,p4p6,1345.8125
p6,25,p2p6,3054.145833333333
p6,26,p2p6,2799.895833333333
p6,27,p3p6,2420.8333333333335
p6,28,p3p6,4241.770833333334
p6,29,p1p6,3683.333333333333
p6,30,p5p6,3333.3333333333335
