sid,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,prolific_id,mean_social_dominance,mean_aggresive_dominance
ultimatum_game,enjhdbed,1,responder,4,p3p4,1,0.0,0,,,,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,2,proposer,4,p4p6,0,0.0,0,,,33076.7,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,3,responder,4,p1p4,0,5.0,1,5.0,1.0,3511.8,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,4,responder,4,p2p4,1,4.0,1,4.0,1.0,3867.4,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,5,proposer,4,p4p5,1,0.0,1,2.0,,11133.9,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,6,proposer,4,p3p4,0,6.0,1,4.0,1.0,4547.0,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,7,responder,4,p4p6,1,5.0,1,5.0,1.0,6407.4,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,8,proposer,4,p1p4,1,5.0,1,5.0,1.0,16493.1,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,9,proposer,4,p2p4,0,6.0,1,4.0,1.0,5371.1,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,10,responder,4,p4p5,0,0.0,1,3.0,0.0,7377.3,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,11,responder,4,p3p4,0,4.0,1,4.0,1.0,5590.6,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,12,proposer,4,p4p6,0,6.0,1,4.0,1.0,2727.6,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,13,responder,4,p1p4,1,5.0,1,5.0,1.0,9023.6,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,14,responder,4,p2p4,0,4.0,1,4.0,1.0,2934.8,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,15,proposer,4,p4p5,1,0.0,1,4.0,0.0,7805.4,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,16,proposer,4,p3p4,1,6.0,1,4.0,1.0,3400.1,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,17,responder,4,p4p6,1,6.0,1,6.0,1.0,6088.6,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,18,proposer,4,p1p4,0,5.0,1,5.0,1.0,3082.4,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,19,proposer,4,p2p4,1,4.0,1,6.0,1.0,8845.2,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,enjhdbed,20,responder,4,p4p5,0,5.0,1,5.0,1.0,6252.9,I am the experimenter. ,3.75,1.8571428571428572
ultimatum_game,j89thiah,1,proposer,5,p5p6,1,5.0,1,5.0,1.0,17722.4,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
